id,subtime,score,walltime,scoreQueue,qtdRecursos
w0!1663335,3793925.0,48.0,359400,450420.0,28
w0!1663398,3803560.0,45.0,359400,414865.0,2
 
Fila Jobs n:,75,Size:,2,Current time:,4124892.0
w0!1669557,4124892.0,0.0,180,1200000.0,6
w0!1669558,4124892.0,0.0,180,1200000.0,13
 
Fila Jobs n:,76,Size:,2,Current time:,4234232.0
w0!1669864,4234223.0,64.0,604800,553326.0,10
w0!1669865,4234232.0,64.0,604800,553317.0,19
 
Fila Jobs n:,77,Size:,3,Current time:,4234239.0
w0!1669864,4234223.0,64.0,604800,553333.0,10
w0!1669865,4234232.0,64.0,604800,553324.0,19
w0!1669866,4234239.0,64.0,604800,553317.0,7
 
Fila Jobs n:,78,Size:,4,Current time:,4234250.0
w0!1669864,4234223.0,64.0,604800,553344.0,10
w0!1669865,4234232.0,64.0,604800,553335.0,19
w0!1669866,4234239.0,64.0,604800,553328.0,7
w0!1669867,4234250.0,64.0,604800,553317.0,9
 
Fila Jobs n:,79,Size:,5,Current time:,4235243.0
w0!1669864,4234223.0,64.0,604800,554337.0,10
w0!1669865,4234232.0,64.0,604800,554328.0,19
w0!1669866,4234239.0,64.0,604800,554321.0,7
w0!1669867,4234250.0,64.0,604800,554310.0,9
w0!1669871,4235243.0,48.0,300,1134720.0,1
 
Fila Jobs n:,80,Size:,5,Current time:,4235588.9
w0!1669864,4234223.0,64.0,604800,554683.0,10
w0!1669865,4234232.0,64.0,604800,554674.0,19
w0!1669866,4234239.0,64.0,604800,554667.0,7
w0!1669867,4234250.0,64.0,604800,554656.0,9
w0!1669871,4235243.0,48.0,300,1135066.0,1
 
Fila Jobs n:,81,Size:,4,Current time:,4236242.5
w0!1669865,4234232.0,64.0,604800,555328.0,19
w0!1669866,4234239.0,64.0,604800,555321.0,7
w0!1669867,4234250.0,64.0,604800,555310.0,9
w0!1669871,4235243.0,48.0,300,1135720.0,1
 
Fila Jobs n:,82,Size:,3,Current time:,4236739.0
w0!1669867,4234250.0,64.0,604800,555806.0,9
w0!1669871,4235243.0,48.0,300,1136216.0,1
w0!1669874,4236739.0,64.0,153,1964725.0,2
 
Fila Jobs n:,83,Size:,4,Current time:,4236751.0
w0!1669867,4234250.0,64.0,604800,555818.0,9
w0!1669871,4235243.0,48.0,300,1136228.0,1
w0!1669874,4236739.0,64.0,153,1964737.0,2
w0!1669875,4236751.0,61.0,7200,557040.0,2
 
Fila Jobs n:,84,Size:,5,Current time:,4236756.0
w0!1669867,4234250.0,64.0,604800,555823.0,9
w0!1669871,4235243.0,48.0,300,1136233.0,1
w0!1669874,4236739.0,64.0,153,1964742.0,2
w0!1669875,4236751.0,61.0,7200,557045.0,2
w0!1669876,4236756.0,49.0,1200,603360.0,6
 
Fila Jobs n:,85,Size:,6,Current time:,4236760.0
