id,subtime,score,walltime,scoreQueue,qtdRecursos
w0!1663298,3817962.0,13.0,3600,172790.0,20
w0!1663301,3818432.0,0.0,16200,13333.0,5
 
Fila Jobs n:,57,Size:,6,Current time:,3820995.2
w0!1663258,3776147.0,16.0,359400,183689.0,20
w0!1663288,3813787.0,46.0,359400,405249.0,1
w0!1663291,3815727.0,46.0,359400,403309.0,1
w0!1663293,3816041.0,46.0,359400,402995.0,1
w0!1663298,3817962.0,13.0,3600,175353.0,20
w0!1663301,3818432.0,0.0,16200,15897.0,5
 
Fila Jobs n:,58,Size:,3,Current time:,3826333.0
w0!1663298,3817962.0,13.0,3600,180691.0,20
w0!1663301,3818432.0,0.0,16200,21234.0,5
w0!1663316,3826333.0,0.0,359400,601.0,1
 
Fila Jobs n:,59,Size:,4,Current time:,3826619.0
w0!1663298,3817962.0,13.0,3600,180977.0,20
w0!1663301,3818432.0,0.0,16200,21520.0,5
w0!1663316,3826333.0,0.0,359400,887.0,1
w0!1663317,3826619.0,60.0,359400,519001.0,1
 
Fila Jobs n:,60,Size:,5,Current time:,3827120.0
w0!1663298,3817962.0,13.0,3600,181478.0,20
w0!1663301,3818432.0,0.0,16200,22021.0,5
w0!1663316,3826333.0,0.0,359400,1388.0,1
w0!1663317,3826619.0,60.0,359400,519502.0,1
w0!1663322,3827120.0,56.0,359400,484441.0,1
 
Fila Jobs n:,61,Size:,6,Current time:,3827166.0
w0!1663298,3817962.0,13.0,3600,181524.0,20
w0!1663301,3818432.0,0.0,16200,22067.0,5
w0!1663316,3826333.0,0.0,359400,1434.0,1
w0!1663317,3826619.0,60.0,359400,519548.0,1
w0!1663322,3827120.0,56.0,359400,484487.0,1
w0!1663323,3827166.0,52.0,1200,629280.0,20
 
Fila Jobs n:,62,Size:,7,Current time:,3827574.0
w0!1663298,3817962.0,13.0,3600,181932.0,20
w0!1663301,3818432.0,0.0,16200,22475.0,5
w0!1663316,3826333.0,0.0,359400,1842.0,1
w0!1663317,3826619.0,60.0,359400,519956.0,1
w0!1663322,3827120.0,56.0,359400,484895.0,1
w0!1663323,3827166.0,52.0,1200,629688.0,20
w0!1663333,3827574.0,49.0,359400,423961.0,20
 
Fila Jobs n:,63,Size:,8,Current time:,3827638.0
w0!1663298,3817962.0,13.0,3600,181996.0,20
w0!1663301,3818432.0,0.0,16200,22539.0,5
w0!1663316,3826333.0,0.0,359400,1906.0,1
w0!1663317,3826619.0,60.0,359400,520020.0,1
w0!1663322,3827120.0,56.0,359400,484959.0,1
w0!1663323,3827166.0,52.0,1200,629752.0,20
w0!1663333,3827574.0,49.0,359400,424025.0,20
w0!1663335,3827638.0,45.0,359400,389401.0,28
 
Fila Jobs n:,64,Size:,9,Current time:,3837273.0
w0!1663298,3817962.0,13.0,3600,191631.0,20
w0!1663301,3818432.0,0.0,16200,32174.0,5
w0!1663316,3826333.0,0.0,359400,11541.0,1
w0!1663317,3826619.0,60.0,359400,529655.0,1
w0!1663322,3827120.0,56.0,359400,494594.0,1
w0!1663323,3827166.0,52.0,1200,639387.0,20
w0!1663333,3827574.0,49.0,359400,433660.0,20
